NOIID,FacilityId,ComplianceId,Issue / Comment,NOIDueDate,NOIResolved,StampInit,StampDate
1805,9707406,2611,1.  Need to send certificate of insurance as required by HAR 11-281-98  ,2003-05-09,True,NOI,2003-04-09 00:00:00
1806,9707406,2611,2.  Need to send Certification of Financial Responsibility letter as required by HAR 11-281-111(b)(10)  ,2003-05-09,True,NOI,2003-04-09 00:00:00
1807,9600699,2612,2.  Provide copy of maintanance on the cathodic protection system 9/29/2003 REQUESTED 30 DAY EXTENSION - RK ,2003-10-12,True,NOI,2003-09-12 00:00:00
1808,9600699,2612,5.  Provide copies of the third party certs for MLLDs and ATG. 9/29/2003 REQUESTED 30 DAY EXTENSION - RK ,2003-10-12,True,NOI,2003-09-12 00:00:00
1809,9600699,2612,3.  Provide copy of the cert of FR 9/29/2003 REQUESTED 30 DAY EXTENSION - RK ,2003-10-12,True,NOI,2003-09-12 00:00:00
1810,9600699,2612,1.  Provide copy of annual mainatance on the ATG (EMCO) 9/29/2003 REQUESTED 30 DAY EXTENSION - RK ,2003-10-12,True,NOI,2003-09-12 00:00:00
1811,9600699,2612,"4. Provide copy of the .2 test for the months of October, November and December 2003  ",2004-01-01,True,NOI,2003-09-12 00:00:00
1812,9502466,2614,FYI - monitor tank every 30 days. fyi ,,False,NOI,2003-08-29 00:00:00
1813,9500422,2615,1.  Please replace spill buckets on all 3 tanks 9/*29/2003 rec fax that spill bucket will be ship 10/3/2003 - rk ,2003-09-26,True,NOI,2003-08-26 00:00:00
1814,9500550,2618,1.  Please determine how far the galvanized piping extends in the soil. 9/19/2003 rec the photos - rk ,2003-09-27,True,NOI,2003-08-27 00:00:00
1815,9500543,2619,1.  Provide copy of annual maintanance on the MLLDs Received test results on 9/12/2003 ,2003-09-27,True,NOI,2003-08-27 00:00:00
1816,9100041,2620,fyi  2.- need to monitor release detection every 30 days fyi ,,False,NOI,2003-09-19 00:00:00
1817,9100041,2620,"FYI 1.- keep a copy of guarantee statement and the trust agreement from Conoco Phillips fyi had financial test statement and certification of FR at site, but not other 2 docs from Conoco",,False,NOI,2003-09-19 00:00:00
1818,9201226,2621,FYI 2. - please keep spill buckets clean of water and product fyi ,,False,NOI,2003-09-11 00:00:00
1819,9201226,2621,"1.  need copy of svc work performed on pllds by CC Repair on 9/10/03 w/ results and tech certification rcvd copy of svc work on pllds and technician certifications from Chevron on 9/25/03 - JI initial annual svc of pllds indicated fails on 5/7/03, retests on 5/8/03 indicated passes - seemed strange, and so must have thought Chevron who had CC Repair test again on 9/10/03",2003-09-19,True,NOI,2003-09-11 00:00:00
1820,9707657,2622,Several issues outstanding - Meeting with DOT/Airport Officials  jack 9-29-03  ,2003-05-10,False,NOI,2003-04-10 00:00:00
1821,9201455,2623,FYI 2. - keep spill buckets clean and free of grass and dirt fyi ,,False,NOI,2003-09-17 00:00:00
1822,9201455,2623,"FYI 1.  maintain a copy of Certification of FR updated yearly per 11-281-111(b)(10). fyi keep copy at facility, no need to send to us",,True,NOI,2003-09-17 00:00:00
1823,9502778,2624,Need closure report or notification closure form from DOTon UST.  Jack needs to call and remind Jiacai to seach and send this documentation.,2003-05-10,False,NOI,2003-04-10 00:00:00
1824,9707580,2625,Trouble Shooting (Drive-by) inspection with Jiacai Liu (DOT Airport Maui)  Took photos.  Fill pipe lock found unlocked.  ,,False,NOI,2003-04-10 00:00:00
1825,9600569,2627,Send photographs of inside of sump showing piping and ancillary equipment 9/26/2003 Recieved photographs of sump area - GKO ,2003-10-04,True,NOI,2003-09-04 00:00:00
1826,9500558,2631,Provide documentation on pipe material  ,2003-10-17,True,NOI,2003-09-17 00:00:00
1827,9500558,2631,"Provide photographs of sump area, showing piping and ancillary equipment  ",2003-10-17,True,NOI,2003-09-17 00:00:00
1828,9500551,2633,"Provide photographs of sump area, showing piping and ancillary equipment  ",2003-10-01,True,NOI,2003-09-16 00:00:00
1829,9500551,2633,Provide documentation that UST system (tank and piping) have CP  ,2003-11-01,True,NOI,2003-09-16 00:00:00
1830,9500548,2635,Provide documentation on how release detection system (Infiinity) works.  ,2003-10-01,False,NOI,2003-09-16 00:00:00
1831,9500548,2635,Provide documentation that sump sensor is working.  ,2003-10-01,False,NOI,2003-09-16 00:00:00
1832,9500548,2635,Provide documentation on cause of release of product observed in sump area 2/5/2004 REC THE MANIFREST OF THE COLLECTED WATER AND DIESEL IN MANWAY SUMP - RK ,2003-10-01,False,NOI,2003-09-16 00:00:00
1833,9500542,2638,Provide name of substance stored in tank. 9/18/03 Received fax that substance is gasoline -GKO ,2003-10-01,True,NOI,2003-09-15 00:00:00
1834,9500559,2639,"Determine current status of tank: TOU or currently-in-use.  If TOU, then provide d notification to DOH and follow TOU requirements.  ",2003-10-17,False,NOI,2003-09-17 00:00:00
1835,9500559,2639,Provide date when tank was last used.  ,2003-10-17,False,NOI,2003-09-17 00:00:00
2038,9201976,3077,FYI. Always keep the sump dry FYI ,,False,NOI,2005-11-15 00:00:00
1836,9601614,2640,PIPING THAT IS UNDER PRESSURE DOES IT HAVE LEAK DETECTION Meeting with DOT officials on compliance questions on corrosion protection and leak detection on the entire piping run.  jack 9-30-03. ,2003-07-02,False,NOI,2003-06-02 00:00:00
1837,9601614,2640,PIPING IS IT FULLY CORROSION PROTECTED ALONG THE ENTIRE PIPING RUN Meeting with DOT officials on compliance questions on corrosion protection and leak detection on the entire piping run.  jack 9-30-03. ,2003-07-02,False,NOI,2003-06-02 00:00:00
1838,9600588,2641,1.  Please send the current certificate of insurance as required by HAR 11-281-96. 6-23-03  Rec'd certificate. ,2003-06-18,True,NOI,2003-06-03 00:00:00
1839,9600588,2641,2.  Please send certification of financial responsibility letter as required by HAR 11-281-111(b)(10). 6-23-03  Rec'd letter. ,2003-06-18,True,NOI,2003-06-03 00:00:00
1840,9101772,2642,"1.  Need copy of alarm history and Setup tape from VR 250i console to show all leak detection results per 11-281-54(b). 9/19/2003 - rec alarm history and setup tape - rk key required to access Setup mode, we could not do during inspection",2003-09-30,True,NOI,2003-09-15 00:00:00
1841,9600582,2643,2.  Please send the current certification of financial responsibility letter as required HAR 11-281-111(b)(10). 6-23-03 Rec'd letter. ,2003-06-18,True,NOI,2003-06-03 00:00:00
1842,9600582,2643,1.  Please send the current certificate of insurance as required HAR 11-281-96. 6-23-03 Rec'd certificate. ,2003-06-18,True,NOI,2003-06-03 00:00:00
1843,9500672,2644,"need documentation that have tne manual for veeder root ld system and third party for TLS 350 clsd atg 4/23/2003 REC THE FR INFORMATION, 0P MANUAL AND LINE TEST RESULTS ",2003-04-22,True,NOI,2003-04-08 00:00:00
1844,9500672,2644,"need on state form (11-281-91), the certificate of insurance.  also need certificate of financial responsbility (11*-281-111) 4/23/2003 REC THE FR INFORMATION, 0P MANUAL AND LINE TEST RESULTS ",2003-04-22,True,NOI,2003-04-08 00:00:00
1845,9500672,2644,"need test results from yur veeder root that the system did a 0.1 line tightness test the last 12 months 4/23/2003 REC THE FR INFORMATION, 0P MANUAL AND LINE TEST RESULTS ",2003-04-22,True,NOI,2003-04-08 00:00:00
1846,9707323,2645,need copies of financial assurance mechanism to comply with fr rule.  also need certificate of fr  ,2003-05-08,True,NOI,2003-04-08 00:00:00
1847,9600594,2646,3.  Send the current certification of financial responsibility letter as required by HAR 11-281-111(b)(10). 6-23-03  Rec'd. letter. ,2003-06-18,True,NOI,2003-06-03 00:00:00
1848,9600594,2646,1.  Send photos of the piping sump to verify the corrosion protection on the tank and the piping as required by HAR 11-281-12 & 13. 7-07-03  DOH sent letter to George Sproul (Verizon Hawaii) requesting the documents for the Pohoa site.   7/11/2003 REC THE BLUE PRINT PLANS ,2003-06-18,True,NOI,2003-06-03 00:00:00
1849,9600594,2646,2.  Send the current certificate of insurance as required by HAR 11-281-96. 6-23-03  Rec'd. certificate. ,2003-06-18,True,NOI,2003-06-03 00:00:00
1850,9600561,2647,2.  Send the current certification of financial responsibility letter as required by HAR 11-281-111(b)(10) 6-23-03  Rec'd. letter ,2003-06-18,True,NOI,2003-06-03 00:00:00
1851,9600561,2647,1.  Send the current certificate of insurance as required by HAR 11-281-96. 6-23-03  Rec'd. certificate. ,2003-06-18,True,NOI,2003-06-03 00:00:00
1852,9600589,2648,1.  Send current certificate of insurance as required by HAR 11-281-98 6-23-03  Rec'd. certificate. ,2003-06-19,True,NOI,2003-06-04 00:00:00
1853,9600589,2648,2.  Send current certification of ffinancial responsibility as required by HAR 11-281-111(b)(10). 6-23-03  Rec'd. letter. ,2003-06-19,True,NOI,2003-06-04 00:00:00
1854,9101978,2649,FYI 1. - prepare cert. of FR per 11-281-111(b)(10) and keep at facility fyi ,,True,NOI,2003-10-01 00:00:00
1855,9600593,2650,2.  Send current certification of financial responsibility letter as required by HAR 11-281-111(b)(10). 6-23-03  Rec'd. letter. ,2003-06-19,True,NOI,2003-06-04 00:00:00
1856,9600593,2650,1.  Send current certificate of insurance as required by HAR 11-281-98. 6-23-03  Rec'd. certificate. ,2003-06-19,True,NOI,2003-06-04 00:00:00
1857,9600596,2651,2.  Send current certification of financial responsibility letter as required by HAR 11-281-111(b)(10). 6-23-03  Rec'd. letter. ,2003-06-04,True,NOI,2003-06-04 00:00:00
1858,9600596,2651,1.  Send current certificate of insurance as required by HAR 11-281-98. 6-23-03  Rec'd. certificate. ,2003-06-04,True,NOI,2003-06-04 00:00:00
1859,9600104,2652,1.  Send completed notification form for new operator as required by HAR 11-281-21(2). 6-05-2003  Rec'd. notification form. ,2003-06-20,True,NOI,2003-06-05 00:00:00
1860,9100071,2653,FYI - 1. - ensure monitoring of release detection done every 30 days. fyi ,,False,NOI,2003-10-03 00:00:00
1861,9600460,2654,1.  Send corrected certificate of self incurance (Bond rating test) as required by HAR 11-281-103. 6-19-03  Rec'd phone call from Nori Ishi (Hawaii County Police - finance) current certificate being reviewed by Bob. ,2003-06-20,True,NOI,2003-06-05 00:00:00
1862,9600460,2654,3.  Send documentation that maxium product alarm is set at 95% as required by HAR 11-181-14(2). 6-06-03  Rec'd document that Les (DL Downing) reprogramed the alarm to 95%. ,2003-06-20,True,NOI,2003-06-05 00:00:00
1863,9600460,2654,2.  Send corrected certification of fanancial responsibility letter as required by HAR 11-281-111(b)(10). 6-19-03  Rec'd phone call from Nori current letter being reviewed by Bob. ,2003-06-20,True,NOI,2003-06-05 00:00:00
1864,9602206,2655,1.  Send current certification of financial responsibility letter as required by HAR 11-281-111(b)(10) 7-09-03  Rec'd letter. ,2003-07-08,True,NOI,2003-06-05 00:00:00
1865,9602206,2655,"fyi - 2.  (FYI)  monitor (interstitial) the piping for UST 1, 2, &3 every 30 days as required by HAR 11-281-51(e)(1)&(2) FYI ",,False,NOI,2003-06-05 00:00:00
1866,9602206,2655,"3.  Send letter on the cathodic protection test for UST 1, 2, &3 done by Mr. Daniel in 2001 explaining what occurred as required by HAR 11-281-42(a)(2)(A). 6-14-03  Rec'd letter. ",2003-07-08,True,NOI,2003-06-05 00:00:00
1867,9602206,2655,4.  Send to DOH the range (voltage & ampres) on the rectifier for the reading done every 60 days as required by HAR 11-281-42(a)(3). 6-18-03  Rec'd  document. ,2003-07-08,True,NOI,2003-06-05 00:00:00
1868,9601874,2657,"4.  provide copy of 30 day monitoring for next 6 months.  Oct, Nov, dec, Jan, Feb, March. 10/27/2003 rec certification, im log and tape, cp survey - rk   12/24/2003 rec the monthly test results - rk  3/11/2004 REC THE LOG FOR MARCH 2004 - RK ",2004-04-30,False,NOI,2003-09-30 00:00:00
1869,9601874,2657,"3.  Provide cpy of Cert of FR 10/27/2003 rec certification, im log and tape, cp survey - rk   2/17/2004 SUBMITTED ENDORSEMENT AND CERTIFICATE OF LIABILITY INSURANCE  - RK ",2003-10-14,False,NOI,2003-09-30 00:00:00
1870,9601874,2657,"1.  Provide copy of CP maintanance 10/10/2003 REC THE CP SURVERY - RK   10/27/2003 rec certification, im log and tape, cp survey - rk ",2003-10-14,False,NOI,2003-09-30 00:00:00
1871,9601874,2657,2.  provide information of CP parameters 10/10/2003 REC THE CP SURVERY - RK ,2003-10-14,False,NOI,2003-09-30 00:00:00
1872,9700602,2661,need to remove water from sum and spill bucket. and should be done on a regular basis 7/23/2003 REC PHOTOS OF WATER REMOVED AND SPILL BUCKET - rk ,2003-07-06,True,NOI,2003-06-06 00:00:00
1873,9700602,2661,provide date of installation 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK ,2003-07-06,True,NOI,2003-06-06 00:00:00
1874,9700602,2661,provide currend fr 6/23/2003 REC FR MECHANISM(S) - GKO ,2003-07-06,True,NOI,2003-06-06 00:00:00
1875,9700603,2663,need to provide doc of fr 6/23/2003 REC FR MECHANISM(S) - GKO ,2003-07-06,True,NOI,2003-06-06 00:00:00
1876,9700603,2663,neet to provide date of installation 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK    7/22/2003 REC PHOTOS BALL FLOAT AND BLUEPRINT - rk ,2003-07-06,True,NOI,2003-06-06 00:00:00
1877,9700603,2663,provide evidence of documentation of overfill protection 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK    7/22/2003 REC PHOTOS BALL FLOAT AND BLUEPRINT - rk ,2003-07-06,True,NOI,2003-06-06 00:00:00
1878,9700603,2663,provide construction of ust and evidence of that ust has corrosion protectin 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK    7/22/2003 REC PHOTOS BALL FLOAT AND BLUEPRINT - rk ,2003-07-06,True,NOI,2003-06-06 00:00:00
1879,9700601,2665,"need clean up debris, vegatation aount ust area 7/23/2OO3 CLEANED TOP OF TANK AREA - GKO ",2003-07-06,True,NOI,2003-06-05 00:00:00
1880,9700601,2665,provide doc of overfill prevention 7/23*/2003 REC PHOTOS OF BALL FLOAT VALVE ,2003-07-06,True,NOI,2003-06-05 00:00:00
1881,9700601,2665,need current copy of fr 6/23/2003 REC FR MECHANISM(S) - GKO ,2003-07-06,True,NOI,2003-06-05 00:00:00
1882,9700601,2665,need date of tank installation 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK ,2003-07-06,True,NOI,2003-06-05 00:00:00
1883,9700605,2667,need to provide date of installation - rk 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK ,2003-07-05,True,NOI,2003-06-05 00:00:00
1884,9700605,2667,need to provide copy of self insurance 6/23/2003 REC FR MECHANISM(S) - GKO ,2003-07-05,True,NOI,2003-06-05 00:00:00
1885,9700615,2669,need to provide current copy of self insurance-rk 6/23/2003 REC CURRENT COPY OF FR MECHANISM - GKO ,2003-07-05,True,NOI,2003-06-05 00:00:00
1886,9700615,2669,need to provide date of tank installation 6/25/2003 REC INSTALLATION DATE FOR THE TANK - RK ,2003-07-05,True,NOI,2003-06-05 00:00:00
1887,9700607,2671,provide evidence of fr 6/23/2003 REC FR MECHANISM(S) - GKO ,2003-07-06,True,NOI,2003-06-06 00:00:00
1888,9700607,2671,provide date of insalltion 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK ,2003-07-06,True,NOI,2003-06-06 00:00:00
1889,9700608,2673,need to provide evidence of overfill protection device 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK  7/22/2003 REC PHOTOS OF REMOVED WATER ROM SUMP AND BALL FLOAT VALVE - RK ,2003-07-06,True,NOI,2003-06-06 00:00:00
1890,9700608,2673,need to provide date of installation 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK ,2003-07-06,True,NOI,2003-06-06 00:00:00
1891,9700608,2673,need to provide financial responsibilty doc 6/23/2003 REC FR MECHANISM(S) - GKO ,2003-07-06,True,NOI,2003-06-06 00:00:00
1892,9700608,2673,need to remove product from sump - rk 6/25/2003 REC INSTALLATION DATE FOR THE TANIK - RK  7/22/2003 REC PHOTOS OF REMOVED WATER ROM SUMP AND BALL FLOAT VALVE - RK ,2003-07-06,True,NOI,2003-06-06 00:00:00
1893,9201918,2674,fyi - need to move the sensors in t1 and t2 into the lowest part of the tank - rk fyi ,,False,NOI,2003-10-09 00:00:00
1894,9200033,2680,FINANCIAL RESPONSIBILTY STATUS  ,2003-11-02,True,NOI,2003-10-02 00:00:00
1895,9200033,2680,STATUS OF PIPES  ,2003-11-02,True,NOI,2003-10-02 00:00:00
1896,9200033,2680,NEED TANK CHART FOR USED OIL  ,2003-11-02,True,NOI,2003-10-02 00:00:00
1897,9707485,2682,need to install sensor in the diesel sump for the other pipe  ,2003-10-26,True,NOI,2003-09-26 00:00:00
1898,9707485,2682,need to reloacte sensor in diesel sump  ,2003-10-26,True,NOI,2003-09-26 00:00:00
1899,9700609,2685,1.  Send documentation of the annual maintenance for the OMNTEC OEL 8000 leak detection equipment for UST 1 & 2 as required by HAR 11-281-51(a)(2). 8-13-03 Rec'd. document. ,2003-08-13,True,NOI,2003-07-30 00:00:00
1900,9700609,2685,2.  Send documentation of water/product removed from USTs 1 & 2 (found on 12-04-03) as required by HAR 11-281-64. 8-07-03 Rec'd. manifest. ,2003-08-13,True,NOI,2003-07-30 00:00:00
1901,9700633,2688,FYI: 3.  Monitor tank & piping (interstitial) every 30 days as required by HAR 11-281-51(e)(1). FYI ,,False,NOI,2003-07-31 00:00:00
1902,9700633,2688,2.  Send current certification of financial responsibility letter as required by HAR 11-281-111(b)(10). 8/1/2003 rec the fr    8/4/2003 REC THE CERTIFICATION   11/5/2007 memo to file - rk,2003-08-29,True,NOI,2003-07-31 00:00:00
1903,9700633,2688,"FYI  4.:  Recommend they install sensors in both piping sumps, as soon as possible. FYI ",,False,NOI,2003-07-31 00:00:00
1904,9700633,2688,"1.  Send current certificate of insurance as required by HAR 11-281-98(b)(2). 7-31-03 Rec'd. acord form, not the Hawaii certificate of insurance.   8/1/2003 rec the fr    8/4/2003 REC THE CERTIFICATION     11/5/2007 memo to file - rk",2003-08-29,True,NOI,2003-07-31 00:00:00
1905,9707396,2689,1.  Send current certification of financial responsibility letter as required by HAR 11-281-111(b)(10). 8-22-03  Rec'd letter. ,2003-08-29,True,NOI,2003-07-31 00:00:00
1906,9707396,2689,2.  Send copy of annual maintenance of Veeder Root TLS 300C  as required by HAR 11-281-51(a)(2). 12/9/2003 REC THE TEST RESULTS - RK ,2003-08-29,True,NOI,2003-07-31 00:00:00
1907,9707396,2689,3.  Need to reconnect & test L3 sensor (diesel annular space) and  send copy of repair invoice as required by HAR 11-281-51(a)(2) & 52(7). 9-17-03 Rec'd.Veeder Root print out tape.  Need copy of repair order. ,2003-08-29,True,NOI,2003-07-31 00:00:00
1908,9707396,2689,4.  Send documentation that you have installed an ALLD for USTs 1 & 2 as required by HAR 11-281-53 (1).  ,2003-08-29,True,NOI,2003-07-31 00:00:00
1909,9707396,2689, FYI: 5.  Monitor interstitial sensors for USTs 1 & 2 every 30 days and attach the Veeder Root sensor tapes to the log as required by HAR 111-281-51(e)(1). FYI ,,False,NOI,2003-07-31 00:00:00
1910,9707392,2690,1.  Send current certification of financial responsibility letter as required by HAR 11-281-111(b)(10). 8-07-03  Rec'd. letter. ,2003-08-13,True,NOI,2003-07-31 00:00:00
1911,9200323,2691,2.  submit 1 leak detection result for Nov. 2003 to show monitoring every 30 days  must show results for all 4 separate tanks,2003-11-30,False,NOI,2003-10-17 00:00:00
1912,9200323,2691,"1.  submit correct certificate of insurance with language as in 11-281-98, per 11-281-111 received 11/25/03 from Atlas Ins. ",2003-10-31,True,NOI,2003-10-17 00:00:00
1913,9200323,2691,FYI  3.  keep spill buckets clean and free of dirt and debris fyi ,,False,NOI,2003-10-17 00:00:00
1914,9201865,2692,"FYI  3. inform fuel drivers not to overfill fyi for regular tank, 3 high level alrms in 7 mos. this year",,False,NOI,2003-10-17 00:00:00
3536,9707674,1674,NONE  ,,False,NOI,2001-10-19 00:00:00
1915,9201865,2692,"FYI  1. need to monitor wplld results more regularly and for all tanks fyi results during year very haphazard, some not showing for all tanks",,False,NOI,2003-10-17 00:00:00
1916,9201865,2692,FYI  2. record responses to all system alarms fyi not doing consistently,,False,NOI,2003-10-17 00:00:00
1917,9200755,2693,1. need self-insurance letter from CFO that reflects 11-281-96 language 10/16/2003 REC FAX COPY OF THE CERTIFICATE OF FR - RK ,2003-11-11,True,NOI,2003-10-10 00:00:00
1918,9200755,2693,2. need an updated Certification of FR that reflects 11-281-111(10) 11/6/2003 REC THE CERTIFICATION AND THE LETTER FROM CFO - RK ,2003-11-11,True,NOI,2003-10-10 00:00:00
1919,9101028,2694,send copy if the simpplicity report for 6/2003 8/15/2003 rec fax copy of the 6/2003 rept - rk ,2003-08-19,True,NOI,2003-07-16 00:00:00
1920,9200503,2695,1.  Remove fuel and determine why there is fuel in the sump pump area.  ,2003-11-17,True,NOI,2003-10-17 00:00:00
1921,9201724,2698,1. need copy of insurance policy with correct language  ,2003-11-07,False,NOI,2003-10-23 00:00:00
1922,9201724,2698,FYI  2. ensure monitoring of leak detection done very 30 days. fyi ,,False,NOI,2003-10-23 00:00:00
1923,9200329,2699,FYI  5. recommend servicing of ATG on regular tank fyi ,,False,NOI,2003-10-23 00:00:00
1924,9200329,2699,FYI  4. monitor tank for leaks every 30 days fyi ,,False,NOI,2003-10-23 00:00:00
1925,9200329,2699,"FYI  3. remind tank truck drivers to keep overfill alarm in sight while filling tanks fyi renovations being done, temporary wall partially blocks sight of overfill alarm",,False,NOI,2003-10-23 00:00:00
1926,9200329,2699,2. evidence of passing 0.2 gph leak test for regular tank #3 rcvd copy of VR tape showing pass 12/11/2003 ,2003-11-07,True,NOI,2003-10-23 00:00:00
1927,9200329,2699,1. copy of insurance policy with correct language  ,2003-11-07,True,NOI,2003-10-23 00:00:00
1928,9707301,2700,2.  Provide documentation on what type of  overfill prevention equipment they have  ,2003-11-24,True,NOI,2003-10-24 00:00:00
1929,9707301,2700,FYI- 1.  Monitor tanks every 30 days. fyi ,,False,NOI,2003-10-24 00:00:00
1930,9200050,2703,"req document that the primary product piping was replaced in 5/2002 10/24/2003 rec letter that primary product piping was replaced in 5/2002 - rk
12/12/2003 rcvd copy of work proposal of M. Nakai outlining scope of work to replace product piping - JI ",,True,NOI,2003-10-16 00:00:00
1931,9200050,2703,"FYI - perform annual maintenance every 12 mos. (last was 10/17/02, next should be by tomw) fyi ",,False,NOI,2003-10-16 00:00:00
1932,9100322,2704,"1. need copy of repair work done to get overfill alarm in working order per 11-281-41 11/12/2003 REC THE YEARLY MONITOR RESULT AND STEVE SUTY CERTIFICATE - RK   1/29/2004 rec response on the overfill alarm and the leak detection for tank 1  -rk if not done by date, cite from desk",2003-10-31,True,NOI,2003-10-21 00:00:00
1933,9100322,2704,"2. need copy of leak detection results for tank 1 (regular) for month of Oct. 2003 to show every 30 days per 11-281-51 1/29/2004 rec response on the overfill alarm and the leak detection for tank 1  -rk results were only 3.0 gph for tank 1, no 0.2 results",2003-10-31,True,NOI,2003-10-21 00:00:00
1934,9100322,2704,FYI 3. recommend doing maintenance check on tank 1 ATG fyi ,,False,NOI,2003-10-21 00:00:00
1935,9100322,2704,FYI 4. keep spill buckets clean fyi diesel bucket had some liquid,,False,NOI,2003-10-21 00:00:00
1936,9100322,2704,FYI 5. note the causes and/or responses to system alarms (tank 1 had many alarms) fyi said also checking inventory on system,,False,NOI,2003-10-21 00:00:00
1937,9101822,2705,"1.  Provide copy of certificate of insurance and certificartion of FR 11/26/2003 rec the certiifcate of insurance - rk    
12/10/2003 REC THE CERTIFICATE OF INSURANCE - RK ",2003-11-01,True,NOI,2003-10-30 00:00:00
1938,9101822,2705,Please send the next 3 months of tank leak results (ATG 0.2 gal/hr test) 11/4/2003 rec nov results - rk ,2003-01-30,True,NOI,2003-10-30 00:00:00
1939,9200052,2707,1.  send photo to show existence of overfill device per HAR 11-281-14(a)(2). 11/3/2003 REC EMAIL PHOTO OVERFILL FLAPPER DEVICE - RK remote fill setup but unable to visually confirm overfill,2003-11-08,True,NOI,2003-10-08 00:00:00
1940,9101159,2709,1.  Please provide a copy of certification of FR and Fix the certificate of insurance. Certification in.  Waiting on certificate to be fixed. ,2003-11-01,True,NOI,2003-10-31 00:00:00
1941,9201964,2710,"fr 111 and 94a1,94b2 11/3/2003 REC A LTR DATED 4/16/1990  ADDRESSED TO ERIC  AND THE EPA NOTIFICAITON FORM DATED 3/29/1990. ALSO REC THE MAP OF THE FACILITY, CERTIFICATE OF INSURANCE POLICY COVERAGE 10/19/2002 TO 10/19/2005. = RK ",,True,NOI,2003-10-10 00:00:00
1942,9201964,2710,"pipe sys? 11/3/2003 REC A LTR DATED 4/16/1990  ADDRESSED TO ERIC  AND THE EPA NOTIFICAITON FORM DATED 3/29/1990. ALSO REC THE MAP OF THE FACILITY, CERTIFICATE OF INSURANCE POLICY COVERAGE 10/19/2002 TO 10/19/2005. = RK   2/19/2004 REC INFORMATION ON THE PIPING - RK ",,True,NOI,2003-10-10 00:00:00
1943,9201964,2710,"dwf or dws 11/3/2003 REC A LTR DATED 4/16/1990  ADDRESSED TO ERIC  AND THE EPA NOTIFICAITON FORM DATED 3/29/1990. ALSO REC THE MAP OF THE FACILITY, CERTIFICATE OF INSURANCE POLICY COVERAGE 10/19/2002 TO 10/19/2005. = RK ",,True,NOI,2003-10-10 00:00:00
1944,9201964,2710,FYI - ENSURE THAT YOUR SYSTEM IS TESTED PRIOR TO THE ANNIVERSARY OF THE FOLLOWING YEAR FYI ,,False,NOI,2003-10-10 00:00:00
1945,9102735,2711,DOH will review FR PLEASE PROVIDE COPY OF CERTIFICATION OF FR  ,2003-12-09,True,NOI,2003-11-04 00:00:00
1946,9100264,2712,1.  Provide copy of cert of FR Received on 10/31/2003 ,2003-11-01,True,NOI,2003-10-31 00:00:00
1947,9101237,2714,1.  Verify type of piping  ,2003-12-05,True,NOI,2003-11-05 00:00:00
1948,9100103,2718,1.  Provide copy of cert of FR Received on 11/6/2003 ,2003-11-13,True,NOI,2003-11-06 00:00:00
1949,9101120,2722,1.  repair plunger in spill bucket for 92 premium tank to ensure can prevent spills per 11-281-41 11/5/2003 rec ltr that the plunger in the spill bucket for tank #3 was repaired.  - rk requested statement or other evidence of work completed,2003-10-31,True,NOI,2003-10-16 00:00:00
1950,9101120,2722,"FYI - 1. have annual maintenance done every 12 mos. (last was 10/17/02, so should be by tomw) fyi ",,False,NOI,2003-10-16 00:00:00
1951,9101120,2722,"FYI - 2. attend to ""paper out"" alarm on VR console fyi ",,False,NOI,2003-10-16 00:00:00
1952,9707565,2723,"FYI  1. keep spill buckets clean of debris, clean up any residual product (reg. tank) fyi ",,False,NOI,2003-11-06 00:00:00
1953,9203163,2725,1.  need documentation to explain 'sensor out' alarm on regular annular on 2/2/03 11/24/2003  Rec explanation for the regular tank sensor out alarm on 2/2/2002  and copy of the veeder-root alarm history - rk service documents not available,2003-12-01,True,NOI,2003-11-14 00:00:00
1954,9203163,2725,FYI  4. keep documentation on service and response to alarms and make available fyi ,,False,NOI,2003-11-14 00:00:00
2035,9200115,3075,"FYI 1. Pls. respond to any document/action required by Jose Balignasay's troubleshooting inspection performed 9/19/2005 thru Neil Nakai of Neil Nakai, Inc. FYI ",,False,NOI,2005-11-03 00:00:00
1955,9203163,2725,2.  need printout of all alarms from 11/02 through 9/03 (only had Oct. 03) 11/24/2003  Rec explanation for the regular tank sensor out alram on 2/2/2002  and copy of the veeder-root alarm history - rk alarm history rcvd is same that was available at inspection: only 1 month's worth,2003-12-01,True,NOI,2003-11-14 00:00:00
1956,9203163,2725,FYI  3. need to conduct 0.1 line tightness testing every 12 months fyi ,,False,NOI,2003-11-14 00:00:00
1957,9100028,2732,"1. send copy of annual maintenance performed on tank & piping monitoring per 11-281-51 12/12/2003 REC TESTING RESULTS - RK last performed 10/20/02, need to do within a week",2003-10-29,True,NOI,2003-10-21 00:00:00
